year,title,imdb_id,boxofficemojo_id,tmdb_id,qid,budget,box_office_start_date,box_office_end_date,box_office_gross
2001,American Pie 2,tt0252866,rl2604893697,2770,Q329127,,2001-08-12,,124900000
2001,Dr. Dolittle 2,tt0240462,rl1112442369,10808,Q1253887,,2001-06-24,,111500000
2001,Jurassic Park III,tt0163025,rl3210577409,331,Q1102220,,2001-07-22,,175800000
2001,Laura Croft: Tomb Raider,tt0146316,rl1767867905,1995,,,2001-06-17,,130700000
2001,Pearl Harbor,tt0213149,rl543720961,676,Q194413,,2001-05-25,,196700000
2001,Planet of the Apes,tt0133152,rl3379070465,869,Q469624,,2001-07-29,,173100000
2001,Rush Hour 2,tt0266915,rl795837953,5175,Q830208,,2001-08-03,,198900000
2001,Shrek,tt0126029,rl7439873,808,Q483815,,2001-05-16,,262900000
2001,The Fast and the Furious,tt0232500,rl928220673,9799,Q155476,,2001-06-24,,142000000
2001,The Mummy Returns,tt0209163,rl3580200449,1734,Q320461,,2001-05-04,,201700000
2002,13 Conversations About One Thing,tt0268690,rl474056193,17734,Q1143287,,2002-05-24,,2940000
2002,About a Boy,tt0276751,rl658540033,245,Q1129227,,2002-05-17,,40570000
2002,Austin Powers in Goldmember,tt0295178,rl944080385,818,Q498910,,2002-07-26,,203470000
2002,Bad Company,tt0280486,rl1514505729,3132,Q798673,,2002-06-07,,29750000
2002,Blue Crush,tt0300532,rl591824385,9266,Q885677,,2002-08-08,,34710000
2002,CQ,tt0254199,rl1917683201,27834,,,2002-05-24,,410000
2002,Cherish,tt0298798,rl1951106561,18408,Q12106800,,2002-06-07,,160000
2002,Deuce's Wild,tt0231448,rl1783596545,13201,,,2002-05-03,,5800000
2002,Divine Secrets of the Ya-Ya Sisterhood,tt0279778,rl3847194113,9583,Q1049916,,2002-06-07,,69030000
2002,Eight Legged Freaks,tt0271367,rl1934722561,8869,Q151946,,2002-07-19,,16649999
2002,Enough,tt0278435,rl3813770753,1957,Q179100,,2002-05-24,,39180000
2002,Full Frontal,tt0290212,rl257263105,15186,Q1432710,,2002-08-02,,2360000
2002,Halloween: Resurrection,tt0220506,rl1045857793,11442,Q176488,,2002-07-12,,30100000
2002,Hey Arnold! The Movie,tt0314166,rl1834583553,17710,Q2616902,,2002-06-28,,13680000
2002,Hollywood Ending,tt0278823,rl3948512769,9689,Q582021,,2002-05-03,,4840000
2002,Insomnia,tt0278504,rl3294332417,320,Q429969,,2002-05-24,,67120000
2002,Ivans XTC,,,,,,2002-06-07,,20000
2002,Juwanna Mann,tt0247444,rl4116547073,35696,Q3282532,,2002-06-20,,13570000
2002,K-19: The Widowmaker,tt0267626,rl4133324289,8665,Q662342,,2002-07-19,,34480000
2002,Like Mike,tt0308506,rl2220787201,21972,Q1752897,,2002-07-04,,50520000
2002,Lilo & Stitch,tt0275847,rl3898508801,11544,Q36092,,2002-06-21,,142140000
2002,Men in Black II,tt0120912,rl1281525249,608,Q156597,,2002-07-03,,190420000
2002,Minority Report,tt0181689,rl4200760833,180,Q244604,,2002-06-21,,130610000
2002,Mr. Deeds,tt0280590,rl2540013057,2022,Q59595,,2002-06-28,,124650000
2002,Powerpuff Girls: The Movie,tt0289408,rl1164674561,59387,,,2002-07-03,,11410000
2002,Reign of Fire,tt0253556,rl3211625985,6278,Q925384,,2002-07-12,,42450000
2002,Road to Perdition,tt0257044,rl1668056577,4147,Q468033,,2002-07-12,,99330000
2002,Scooby-Doo,tt0267913,rl3631187457,9637,Q936302,,2002-06-14,,152020000
2002,Signs,tt0286106,rl1685161473,2675,Q22432,,2002-08-02,,195580000
2002,Spider-Man,tt0145487,rl678659585,557,Q484442,,2002-05-03,,403710000
2002,Spirit: Stallion of the Cimarron,tt0166813,rl410224129,9023,Q641315,,2002-05-24,,73220000
2002,Spy Kids 2: Island of Lost Dreams,tt0287717,rl1920173569,9488,Q549908,,2002-08-07,,70050000
2002,Star Wars: Episode II - Attack of the Clones,tt0121765,rl2809366017,1894,Q181069,,2002-05-16,,300670000
2002,Stuart Little 2,tt0243585,rl1416791553,10996,Q1070554,,2002-07-19,,61990000
2002,The Adventures of Pluto Nash,tt0180052,rl745244161,11692,Q655051,,2002-08-16,,4260000
2002,The Believer,tt0247199,rl1111787009,4012,,,2002-05-17,,260000
2002,The Bourne Identity,tt0258463,rl2286323201,2501,Q105624,,2002-06-14,,118130000
2002,The Country Bears,tt0276033,rl156075521,18357,Q3234357,,2002-07-26,,16239999
2002,The Crocodile Hunter: Collision Course,tt0305396,rl3125642753,17043,Q1140738,,2002-07-12,,28150000
2002,The Dangerous Lives of Alter Boys,tt0238924,rl827098625,16857,,,2002-06-14,,1740000
2002,The Emperor's New Clothes,tt0282768,rl2438039041,52258,,,2002-06-14,,640000
2002,The Good Girl,tt0279113,rl3797190145,9962,Q668357,,2002-08-07,,7540000
2002,The Importance of Being Ernest,tt0278500,rl1113294337,9026,,,2002-05-22,,7960000
2002,The Master of Disguise,tt0295427,rl2472773121,13908,Q507262,,2002-08-02,,37400000
2002,The New Guy,tt0241760,rl3596912129,10985,Q1463176,,2002-05-10,,28970000
2002,The Salton Sea*,tt0235737,rl1718584833,11468,,,2002-04-26,,540000
2002,The Sum of All Fears,tt0164184,rl2675082753,4614,Q1048846,,2002-05-31,,118470000
2002,Undercover Brother,tt0279493,rl2792785409,12277,Q2093198,,2002-05-31,,38230000
2002,Unfaithful,tt0250797,rl4269180417,2251,Q970089,,2002-05-10,,52730000
2002,Windtalkers,tt0245562,rl2608563713,12100,Q1145275,,2002-06-14,,40860000
2002,xXx,tt0295701,rl1450870273,7451,Q283799,,2002-08-02,,123880000
2003,2 Fast 2 Furious,tt0322259,rl1178699265,584,Q222867,,2003-06-06,,126780000
2003,28 Days Later,tt0289043,rl1262585345,170,Q221075,,2003-06-27,,44210000
2003,Alex & Emma,tt0318283,rl3628107265,17813,Q1852067,,2003-06-20,,14210000
2003,American Wedding,tt0328828,rl2319681025,8273,Q466423,,2003-08-01,,97690000
2003,Bad Boys II,tt0172156,rl1732609537,8961,Q539269,,2003-07-18,,135070000
2003,Bruce Almighty,tt0315327,rl3142157825,310,Q207816,,2003-05-23,,240960000
2003,Buffalo Soldiers,tt0252299,rl2554955265,9104,,,2003-07-25,,310000
2003,Charlie's Angels: Full Throttle,tt0305357,rl793478657,9471,Q229603,,2003-06-27,,100260000
2003,Daddy Day Care,tt0317303,rl3729622529,10708,Q980223,,2003-05-09,,103100000
2003,Down with Love,tt0309530,rl1699644929,10720,Q672528,,2003-05-09,,20300000
2003,Dumb and Dumberer: When Harry Met Lloyd,tt0329028,rl3780019713,10152,Q1265087,,2003-06-13,,26100000
2003,Finding Nemo,tt0266543,rl2723382785,12,Q132863,,2003-05-30,,332720000
2003,Freaky Friday,tt0322330,rl4048717313,10330,Q118713,,2003-08-08,,90840000
2003,Freddy vs. Jason,tt0329101,rl3914499585,6466,Q965859,,2003-08-15,,73940000
2003,From Justin to Kelly,tt0339034,rl408258049,31246,Q1714159,,2003-06-20,,4920000
2003,Gigli,tt0299930,rl1012172289,8046,Q260533,,2003-08-01,,5660000
2003,Hollywood Homicide,tt0329717,rl4133062145,11375,Q1624927,,2003-06-13,,30010000
2003,How to Deal,tt0319524,rl1129874945,17403,Q606244,,2003-07-18,,14110000
2003,Hulk,tt0286716,rl2488829441,1927,Q696042,,2003-06-20,,131770000
2003,Jeepers Creepers 2,tt0301470,rl3311044097,11351,Q1540379,,2003-08-29,,18370000
2003,Johnny English,tt0274166,rl1784514049,9486,Q337881,,2003-07-18,,27640000
2003,"Legally Blonde 2: Red, White & Blonde",tt0333780,rl878609921,10327,Q644969,,2003-07-02,,89810000
2003,My Boss's Daughter,tt0270980,rl2806416897,2830,Q1338266,,2003-08-22,,11620000
2003,Open Range,tt0316356,rl3999696385,2055,Q1546370,,2003-08-15,,43480000
2003,Pirates of the Caribbean: The Curse of the Black Pearl,tt0325980,rl4134045185,22,Q46717,,2003-07-09,,275020000
2003,Rugrats Go Wild,tt0337711,rl3614213633,20694,Q3180765,,2003-06-13,,39290000
2003,SWAT,tt0257076,rl3279062529,9257,,,2003-08-08,,102700000
2003,Seabiscuit,tt0329575,rl3312420353,4464,Q179018,,2003-07-25,,104650000
2003,Sinbad: Legend of the Seven Seas,tt0165982,rl2977007105,14411,Q1043425,,2003-07-02,,26180000
2003,Spy Kids: 3-D,tt0338459,rl1936950785,12279,,,2003-07-25,,107420000
2003,Terminator 3: Rise of the Machines,tt0181852,rl3413476865,296,Q29054009,,2003-07-02,,149090000
2003,The In-Laws,tt0314786,rl3931866625,5146,Q1305746,,2003-05-23,,20440000
2003,The Italian Job,tt0317740,rl3210380801,9654,Q648312,,2003-05-30,,100890000
2003,The League of Extraordinary Gentlemen,tt0311429,rl3512698369,8698,Q567577,,2003-07-11,,65250000
2003,The Legend of Suriyothai,tt0290879,rl626951681,27329,,,2003-06-20,,410000
2003,The Lizzie McGuire Movie,tt0306841,rl258049537,18736,Q743190,,2003-05-02,,42670000
2003,The Matrix Reloaded,tt0234215,rl4167271937,604,Q189600,,2003-05-15,,279770000
2003,The Medallion,tt0288045,rl3311633921,10610,Q375775,,2003-08-22,,16870000
2003,Tomb Raider 2: The Cradle of Life,tt0325703,rl846693889,1996,,,2003-07-25,,63980000
2003,Wrong Turn,tt0295700,rl1618642433,9902,Q388944,,2003-05-30,,15380000
2003,X2: X-Men United,tt0290334,rl1736082945,36658,Q219776,,2003-05-02,,214910000
2004,A Cinderella Story,tt0356470,rl4249585153,11247,Q276415,,2004-07-16,,50810000
2004,Alien vs. Predator,tt0370263,rl776308225,395,Q155163,,,,77030000
2004,Anchorman,tt0357413,rl3628303873,8699,,,,,84140000
2004,Around the World in 80 Days,tt0327437,rl2923595265,10204,Q156519,,2004-06-16,,23970000
2004,Badassssss!,tt0367790,rl306546177,28219,,,2004-05-28,,370000
2004,Breaking All the Rules,tt0349169,rl3460728321,16428,,,2004-05-14,,11830000
2004,Catwoman,tt0327554,rl2236122625,314,Q115760,,2004-07-23,,39520000
